"","host_response_rate","host_acceptance_rate","host_listings_count","accommodates","room_type","bedrooms","bathrooms","beds","price","minimum_nights","maximum_nights","number_of_reviews","latitude","longitude","city","zipcode","state","tidy_price"
"53","50%","",1,2,"Private room",1,1,1,"$150.00",1,1125,0,38.8345414496925,-77.0056065287508,"Washington","20032","DC",150
"54","80%","67%",1,2,"Private room",1,1.5,1,"$40.00",1,1125,9,38.8430638358585,-76.9915870687365,"Washington","20032","DC",40
"55","100%","100%",5,2,"Private room",1,1,1,"$45.00",1,1125,0,38.8468334952137,-76.9994565340834,"Washington","20032","DC",45
"56","100%","100%",2,2,"Private room",1,2.5,1,"$55.00",2,1125,0,38.8277566120807,-77.0083268032359,"Washington","20032","DC",55
"57","","",1,2,"Entire home/apt",1,1,1,"$200.00",1,1125,1,38.8250605190409,-76.9987406048525,"Washington","20032","DC",200
"58","100%","88%",2,2,"Private room",1,1,1,"$65.00",1,1125,4,38.8508134379912,-76.9801114215388,"Washington","20020","DC",65
"59","100%","100%",4,4,"Private room",1,1.5,1,"$94.00",1,31,18,38.8408171177168,-76.9779750375029,"Washington","20032","DC",94
"60","100%","88%",2,1,"Private room",1,1,1,"$65.00",1,1125,2,38.8487274639163,-76.9787148289132,"Washington","20020","DC",65
"61","100%","100%",4,5,"Private room",1,1.5,1,"$64.00",1,90,115,38.8421504027977,-76.9763332341657,"Washington","20032","DC",64
"62","100%","100%",1,2,"Private room",1,1,1,"$59.00",1,1125,18,38.8498122715748,-76.9828929597132,"Washington","20020","DC",59
"63","100%","100%",4,3,"Private room",1,1.5,1,"$74.00",1,90,33,38.8422291973834,-76.9764170317204,"Washington","20032","DC",74
"64","100%","100%",2,3,"Private room",1,1,1,"$69.00",1,1125,8,38.8532829298026,-76.9682667337434,"Washington","20020","DC",69
"65","100%","100%",5,1,"Private room",1,1,1,"$49.00",1,1125,1,38.8576088991146,-76.9744090402791,"Washington","20020","DC",49
"66","","",1,2,"Private room",1,1,1,"$60.00",1,365,0,38.859083043306,-76.9694998958431,"Washington","20020","DC",60
"67","100%","100%",2,2,"Private room",1,1,1,"$69.00",1,1125,19,38.8513765581271,-76.9708369709894,"Washington","20020","DC",69
"68","100%","100%",1,4,"Entire home/apt",1,1,2,"$157.00",2,1125,3,38.8772108593467,-77.003687438281,"Washington","20003","DC",157
"69","100%","94%",1,3,"Entire home/apt",1,1,1,"$128.00",1,1125,9,38.8799598879862,-77.0064906281552,"Washington","20003","DC",128
"70","100%","100%",1,2,"Entire home/apt",1,1,1,"$135.00",6,1125,6,38.8770983008635,-77.004583581626,"Washington","20003","DC",135
"71","80%","80%",1,2,"Private room",1,1,1,"$90.00",2,1125,6,38.8796161929214,-77.004342091093,"Washington","20003","DC",90
"72","50%","80%",1,2,"Entire home/apt",1,1,1,"$102.00",5,31,6,38.8783406237763,-77.0007384863863,"Washington","20003","DC",102
"73","100%","100%",1,3,"Entire home/apt",1,1,1,"$99.00",1,19,0,38.878374934209,-77.0080016763697,"Washington","20003","DC",99
"74","","",1,2,"Entire home/apt",1,1,1,"$195.00",1,1125,1,38.8765367391923,-77.0062363502114,"Washington","20003","DC",195
"75","100%","100%",1,4,"Entire home/apt",1,1,2,"$160.00",1,1125,59,38.8803241655307,-77.0019617031194,"Washington","20003","DC",160
"76","100%","89%",2,2,"Private room",1,1,1,"$95.00",1,1125,1,38.8800866331395,-77.007312867619,"Washington","20003","DC",95
"77","33%","100%",1,2,"Entire home/apt",1,1,1,"$120.00",1,1125,0,38.8786184362398,-77.0059824672787,"Washington","20003","DC",120
"78","100%","63%",2,6,"Entire home/apt",2,2,3,"$249.00",2,180,0,38.8758404591324,-76.9990860113067,"Washington","20003","DC",249
"79","100%","100%",1,2,"Entire home/apt",1,1,1,"$88.00",3,1125,1,38.8804502706164,-77.0065148749795,"Washington","20003","DC",88
"80","100%","100%",1,2,"Private room",1,1,1,"$90.00",1,1125,2,38.8786908173552,-77.0053782670677,"Washington","20003","DC",90
"81","90%","93%",3,2,"Private room",1,1,1,"$125.00",1,1125,0,38.874911906887,-77.008844989814,"Washington","20003","DC",125
"82","90%","93%",1,2,"Private room",1,1,1,"$85.00",3,14,145,38.8792332863108,-76.9976414257521,"Washington","20003","DC",85
"83","","",1,3,"Entire home/apt",1,1,2,"$400.00",1,1125,0,38.8804596062569,-77.0080082049047,"Washington","20003","DC",400
"84","100%","100%",1,2,"Private room",1,1,1,"$120.00",2,1125,8,38.8740749305276,-77.0023063010923,"Washington","20003","DC",120
"85","100%","95%",3,10,"Entire home/apt",4,2,4,"$215.00",2,1825,29,38.8911997960192,-76.9506789888874,"Washington","20019","DC",215
"86","","",1,2,"Private room",1,0.5,1,"$90.00",2,4,0,38.887464757323,-76.9557135419132,"Washington","20019","DC",90
"87","100%","87%",1,2,"Private room",1,1,1,"$50.00",2,240,23,38.8913868640245,-76.9488614064367,"Washington","20019","DC",50
"88","100%","100%",1,5,"Private room",1,1,2,"$100.00",1,1125,12,38.8920906840726,-76.9503142934267,"Washington","20019","DC",100
"89","33%","",1,4,"Entire home/apt",2,2,2,"$65.00",1,1125,0,38.8730203461778,-76.9389177453411,"Washington","20019","DC",65
"90","92%","95%",2,2,"Private room",1,1,1,"$55.00",2,30,4,38.8936281180936,-76.9592483919867,"Washington","20019","DC",55
"91","100%","73%",1,8,"Entire home/apt",3,2.5,1,"$129.00",1,5,58,38.8833641907636,-76.9506295330511,"Washington","20019","DC",129
"92","92%","95%",2,1,"Private room",1,1,1,"$45.00",1,1125,4,38.8919731145974,-76.9604287524357,"Washington","20019","DC",45
"93","58%","51%",480,5,"Entire home/apt",2,2,2,"$299.00",3,365,34,38.9010559462394,-77.0341578639951,"Washington","20005","DC",299
"94","58%","51%",480,5,"Entire home/apt",2,2,2,"$309.00",4,365,8,38.9009509181124,-77.0329729827145,"Washington","20005","DC",309
"95","90%","",2,7,"Entire home/apt",2,1,4,"$375.00",1,1125,0,38.894559108219,-77.0142194136968,"Annapolis","21403","MD",375
"96","100%","95%",2,4,"Entire home/apt",2,2,3,"$180.00",7,21,48,38.9012587462951,-77.0145152535927,"Washington","20001","DC",180
"97","100%","100%",3,4,"Entire home/apt",1,1,1,"$149.00",3,1125,32,38.9055335883353,-77.0335504835965,"Washington","20005","DC",149
"98","92%","76%",206,5,"Entire home/apt",2,2,3,"$337.00",3,1125,6,38.9004593626133,-77.0264187325685,"Washington","20268","DC",337
"99","58%","51%",480,4,"Entire home/apt",2,2,2,"$299.00",3,730,7,38.9010744877645,-77.0192463472471,"Washington","20001","DC",299
"100","58%","51%",480,3,"Entire home/apt",1,1,1,"$249.00",4,365,6,38.8937129807833,-77.0187753708404,"Washington","20001","DC",249
"101","70%","100%",1,3,"Entire home/apt",0,1.5,1,"$126.00",2,1125,5,38.9001051229234,-77.0152540657707,"Washington","20001","DC",126
"102","100%","100%",1,2,"Private room",1,1,1,"$99.00",1,1125,1,38.9018969972681,-77.028141534587,"Washington","20005","DC",99
"103","58%","51%",480,4,"Entire home/apt",2,2,2,"$299.00",3,365,2,38.9008916054473,-77.019547659416,"Washington","20001","DC",299
"104","58%","51%",480,2,"Entire home/apt",1,1,1,"$199.00",7,1125,1,38.9028528070033,-77.0189908996178,"Washington","20001","DC",199
"105","100%","100%",1,3,"Shared room",1,1,3,"$89.00",1,1125,1,38.8958004311543,-77.0115220466897,"Washington","20001","DC",89
"106","","",1,2,"Entire home/apt",0,1,1,"$165.00",1,1125,0,38.8983514223344,-77.022010710947,"Washington","20001","DC",165
"107","58%","51%",480,4,"Entire home/apt",2,2,2,"$309.00",4,365,1,38.8942315099236,-77.0186583218899,"Washington","20001","DC",309
"108","100%","",1,2,"Entire home/apt",0,1,1,"$115.00",1,1125,0,38.8986694871368,-77.0147477308003,"Washington","20001","DC",115
"109","100%","100%",2,4,"Entire home/apt",1,1,2,"$130.00",1,1125,85,38.9028522408773,-77.0223174462932,"Washington","20005","DC",130
"110","50%","100%",1,2,"Private room",1,2,1,"$95.00",1,1125,0,38.9004901462654,-77.0156675651687,"Washington","20001","DC",95
"111","100%","93%",1,1,"Shared room",1,1,1,"$50.00",2,1125,6,38.901548621245,-77.0122656447357,"Washington","20001","DC",50
"112","87%","70%",190,3,"Entire home/apt",1,1,1,"$569.00",3,1125,0,38.8940734060976,-77.019462951225,"Washington","20001","DC",569
"113","100%","",1,1,"Private room",1,1,1,"$55.00",20,21,0,38.8990409076745,-77.0166892750343,"Washington","20001","DC",55
"114","100%","100%",3,2,"Shared room",1,1.5,1,"$49.00",1,1125,3,38.9058555812924,-77.012205204049,"Washington","20001","DC",49
"115","99%","89%",25,4,"Entire home/apt",2,1,2,"$250.00",3,1125,4,38.9051220992355,-77.0271197105367,"Washington","20001","DC",250
"116","92%","76%",206,5,"Entire home/apt",2,2,3,"$311.00",3,1125,3,38.8938871660345,-77.018811906651,"Washington","20001","DC",311
"117","100%","95%",1,2,"Entire home/apt",0,1,1,"$95.00",2,29,35,38.8993337232103,-77.0164595995883,"Washington","20001","DC",95
"118","100%","100%",1,1,"Shared room",1,1,2,"$59.00",1,1125,1,38.9040597843232,-77.0170637424842,"Washington","20001","DC",59
"119","83%","100%",2,2,"Entire home/apt",1,1,1,"$167.00",5,1125,31,38.8953894166932,-77.020545590411,"Washington","20004","DC",167
"120","100%","100%",2,3,"Entire home/apt",1,1,1,"$165.00",1,1125,0,38.9050979718427,-77.016718901139,"Washington","20001","DC",165
"121","100%","100%",4,3,"Private room",1,1.5,1,"$104.00",2,1125,11,38.9056828956337,-77.0120282695752,"Washington","20001","DC",104
"122","43%","46%",17,4,"Entire home/apt",1,1,3,"$159.00",1,1125,0,38.8989526853193,-77.014935501484,"Washington","20001","DC",159
"123","100%","100%",1,2,"Entire home/apt",0,1,1,"$190.00",3,1125,13,38.9038884915885,-77.0174948614901,"Washington","20001","DC",190
"124","92%","76%",206,3,"Entire home/apt",1,1,2,"$246.00",3,1125,0,38.9049106118145,-77.029896867522,"Washington","20005","DC",246
"125","70%","100%",1,3,"Entire home/apt",1,1,2,"$200.00",2,1125,14,38.9053124856596,-77.0220989726145,"Washington","20001","DC",200
"126","75%","75%",1,3,"Entire home/apt",1,1,2,"$215.00",1,1125,34,38.900772039742,-77.024677399154,"Washington","20005","DC",215
"127","67%","100%",1,4,"Entire home/apt",2,2,2,"$450.00",1,1125,0,38.9012082932522,-77.0163375279843,"Washington","20001","DC",450
"128","87%","70%",190,3,"Entire home/apt",1,1,1,"$234.00",3,1125,0,38.9050001338511,-77.0292398422942,"Washington","20005","DC",234
"129","100%","100%",4,2,"Private room",1,1.5,1,"$110.00",2,1125,33,38.9041696474996,-77.0128149420079,"Washington","20001","DC",110
"130","90%","100%",1,4,"Entire home/apt",2,2,2,"$225.00",3,30,0,38.904262224657,-77.0100984572269,"Washington","20001","DC",225
"131","58%","51%",480,3,"Entire home/apt",1,1,1,"$249.00",4,365,4,38.892832022228,-77.018999047752,"Washington","20001","DC",249
"132","71%","0%",1,2,"Entire home/apt",1,1,1,"$109.00",1,1125,0,38.9053903139363,-77.0293242153031,"Washington","20005","DC",109
"133","100%","100%",1,4,"Entire home/apt",2,2,2,"$250.00",3,1125,1,38.9015746824154,-77.0157766608287,"Washington","20001","DC",250
"134","","",1,4,"Entire home/apt",1,1,1,"$135.00",2,1125,2,38.9015025845428,-77.0145908834948,"Washington","20001","DC",135
"135","100%","89%",1,3,"Private room",1,2,2,"$87.00",2,30,2,38.904151661936,-77.0150590218442,"Washington","20001","DC",87
"136","83%","65%",5,4,"Entire home/apt",1,1,1,"$210.00",1,90,103,38.8973663968887,-77.0179337574807,"Washington","20001","DC",210
"137","96%","98%",2,10,"Entire home/apt",3,2,6,"$300.00",3,1125,5,38.9054736580335,-77.0205310809973,"Washington","20001","DC",300
"138","58%","51%",480,2,"Entire home/apt",0,1,1,"$189.00",4,365,0,38.8930484306148,-77.0201590971313,"Washington","20001","DC",189
"139","","",1,2,"Private room",1,1,1,"$120.00",1,1125,0,38.9048135415806,-77.0258442322922,"Washington, D.C.","20001","DC",120
"140","60%","100%",1,2,"Entire home/apt",1,1,1,"$200.00",1,1,1,38.9045366816833,-77.016228178925,"Washington","20001","DC",200
"141","100%","89%",2,3,"Entire home/apt",1,1,2,"$269.00",1,1125,6,38.8989480272244,-77.0327929569767,"Washington","20005","DC",269
"142","87%","70%",190,3,"Entire home/apt",1,1,1,"$569.00",3,1125,0,38.8932423227885,-77.020175678942,"Washington","20001","DC",569
"143","70%","57%",2,4,"Entire home/apt",2,2,2,"$120.00",1,1125,3,38.9053178321397,-77.0151466817077,"Washington","20001","DC",120
"144","100%","95%",2,1,"Private room",1,1,1,"$109.00",2,5,1,38.9015710177604,-77.0157497819597,"Washington","20001","DC",109
"145","25%","100%",1,3,"Entire home/apt",1,1,1,"$150.00",2,1125,4,38.90540462023,-77.0305080223775,"Washington","20005","DC",150
"146","92%","100%",4,3,"Entire home/apt",1,1,1,"$95.00",2,1125,70,38.9050436861595,-77.0188060108027,"Washington","20001","DC",95
"147","100%","100%",1,4,"Entire home/apt",1,1,2,"$119.00",1,20,0,38.9048272298389,-77.0268564746629,"Washington","20005","DC",119
"148","100%","100%",1,2,"Private room",1,1,1,"$97.00",1,1125,2,38.9015876684959,-77.0192696494248,"Washington","20001","DC",97
"149","100%","88%",1,2,"Private room",1,1,1,"$99.00",1,4,51,38.9005857370512,-77.014180667132,"Washington","20001","DC",99
"150","65%","77%",1,2,"Entire home/apt",1,1,1,"$295.00",1,1125,28,38.9014743230847,-77.0164104771565,"Washington","20001","DC",295
"151","92%","93%",1,2,"Entire home/apt",1,1,1,"$149.00",2,1125,9,38.9007174531777,-77.0168497814251,"Washington","20001","DC",149
"152","100%","92%",1,2,"Private room",1,1,1,"$110.00",1,1125,10,38.9003247515641,-77.0106013715586,"Washington","20001","DC",110
"153","100%","100%",1,5,"Entire home/apt",2,1,3,"$180.00",2,366,1,38.9041499854356,-77.0206069311954,"Washington","20001","DC",180
"154","100%","100%",1,2,"Entire home/apt",0,1,2,"$150.00",3,1125,3,38.8967307430212,-77.0113355145503,"Washington","20001","DC",150
"155","92%","94%",30,6,"Entire home/apt",0,1,3,"$150.00",3,100000,24,38.9047515107468,-77.0263271083851,"Washington","20001","DC",150
"156","100%","100%",1,5,"Entire home/apt",2,2.5,2,"$155.00",2,1125,23,38.8986953947062,-77.016617191435,"Washington","20001","DC",155
"157","100%","100%",1,3,"Private room",1,1,2,"$85.00",3,30,338,38.9042684265719,-77.0265596308551,"Washington","20001","DC",85
"158","50%","50%",1,2,"Entire home/apt",1,1,1,"$130.00",1,1125,4,38.9045110376075,-77.0302218857456,"Washington","20005","DC",130
"159","100%","69%",1,3,"Entire home/apt",1,1,1,"$120.00",1,1125,3,38.9030168780422,-77.0185868371244,"Washington","20001","DC",120
"160","100%","100%",1,2,"Private room",1,1,1,"$90.00",2,1125,12,38.9050787633723,-77.0184392006211,"Washington","20001","DC",90
"161","96%","47%",1,2,"Entire home/apt",1,1,2,"$149.00",1,1125,47,38.8999365223888,-77.0163454091627,"Washington","20001","DC",149
"162","87%","70%",190,3,"Entire home/apt",1,1,1,"$569.00",3,1125,0,38.8939668338765,-77.0193870551783,"Washington","20001","DC",569
"163","100%","100%",1,4,"Entire home/apt",1,1,1,"$180.00",1,1125,6,38.898417869143,-77.0153113697685,"Washington","20001","DC",180
"164","","",1,1,"Shared room",1,1,1,"$55.00",1,14,1,38.9019517918905,-77.0528559339722,"Washington","20037","DC",55
"165","90%","100%",6,4,"Entire home/apt",1,1,1,"$229.00",2,720,29,38.9004168228218,-77.0172965643052,"Washington","20001","DC",229
"166","90%","50%",1,2,"Private room",1,1,1,"$75.00",1,1125,2,38.9013642924246,-77.0174342652232,"Washington","20001","DC",75
"167","87%","70%",190,3,"Entire home/apt",1,1,1,"$569.00",3,1125,0,38.905306950913,-77.0302830259077,"Washington","20005","DC",569
"168","100%","100%",1,2,"Private room",1,1,1,"$105.00",1,1125,245,38.9009612045907,-77.0333334890788,"Washington","20005","DC",105
"169","58%","51%",480,2,"Entire home/apt",1,1,1,"$259.00",4,365,3,38.8926727561956,-77.019469110688,"Washington","20001","DC",259
"170","100%","50%",1,2,"Entire home/apt",1,1,1,"$120.00",2,1125,1,38.9039908156021,-77.0173687983782,"Washington","20001","DC",120
"171","100%","100%",1,3,"Entire home/apt",1,1,2,"$119.00",5,1125,3,38.9019832806116,-77.0148374554343,"Washington","20001","DC",119
"172","90%","100%",1,2,"Entire home/apt",1,1.5,1,"$139.00",1,1125,0,38.9052984501586,-77.0286629667705,"Washington","20005","DC",139
"173","100%","100%",2,1,"Private room",1,1,1,"$90.00",1,1125,0,38.9042246633896,-77.0091044499743,"Washington","20001","DC",90
"174","100%","100%",2,1,"Private room",1,1,1,"$109.00",3,1125,34,38.9034319071256,-77.0269274557628,"Washington","20005","DC",109
"175","100%","45%",1,4,"Entire home/apt",1,1,2,"$150.00",2,90,25,38.8979768657922,-77.0148715678852,"Washington","20001","DC",150
"176","92%","94%",30,5,"Entire home/apt",0,1,3,"$295.00",3,999,45,38.9046177561809,-77.0270388251653,"Washington","20001","DC",295
"177","83%","65%",5,3,"Entire home/apt",1,1,1,"$210.00",1,365,57,38.9014449138378,-77.0134721089916,"Washington","20001","DC",210
"178","92%","94%",30,6,"Entire home/apt",2,1.5,2,"$329.00",3,999,21,38.904744836147,-77.0274106850857,"Washington","20001","DC",329
"179","100%","50%",1,2,"Entire home/apt",0,1,1,"$125.00",2,7,0,38.896931582531,-77.0109451605529,"Washington","20001","DC",125
"180","89%","100%",1,2,"Entire home/apt",1,1,1,"$150.00",1,1125,1,38.9029739768984,-77.0175064446253,"Washington","20001","DC",150
"181","80%","100%",1,3,"Entire home/apt",1,1,2,"$175.00",2,15,139,38.9037735646814,-77.0119706056584,"Washington","20009","DC",175
"182","100%","100%",1,3,"Entire home/apt",1,1,2,"$129.00",1,1125,7,38.9006614313161,-77.016289275751,"Washington","20001","DC",129
"183","58%","51%",480,2,"Entire home/apt",1,1,1,"$239.00",5,730,0,38.9028976275412,-77.0174744714097,"Washington","20001","DC",239
"184","82%","82%",2,2,"Entire home/apt",1,1,1,"$250.00",2,1125,17,38.9003387612496,-77.016230916639,"Washington","20001","DC",250
"185","100%","99%",4,4,"Entire home/apt",1,1,2,"$168.00",1,1125,136,38.9060070451432,-77.0338279767239,"Washington","20005","DC",168
"186","70%","86%",1,2,"Private room",1,1,1,"$79.00",2,1125,2,38.9002006612376,-77.0107202907971,"Washington","20001","DC",79
"187","100%","",1,1,"Shared room",1,1,2,"$65.00",2,1125,0,38.8992320948701,-77.0197687945188,"Washington","20001","DC",65
"188","90%","100%",1,4,"Entire home/apt",2,2,2,"$290.00",3,365,32,38.9026495604798,-77.0127958007619,"Washington","20001","DC",290
"189","100%","",1,6,"Entire home/apt",1,1,3,"$725.00",5,30,0,38.8987862500449,-77.0247129412146,"Washington","20001","DC",725
"190","100%","",1,2,"Private room",1,1,1,"$109.00",1,1125,5,38.8995535671898,-77.010752447217,"Washington","20001","DC",109
"191","97%","96%",1,4,"Entire home/apt",1,1,2,"$99.00",1,1125,3,38.9055605909678,-77.0157970393377,"Washington","20001","DC",99
"192","87%","70%",190,3,"Entire home/apt",1,1,1,"$569.00",3,1125,0,38.8939691992077,-77.019373770903,"Washington","20001","DC",569
"193","100%","100%",1,4,"Entire home/apt",1,1,2,"$120.00",3,20,3,38.9049999438243,-77.0295594974846,"Washington","20005","DC",120
"194","","",1,2,"Entire home/apt",1,1,2,"$290.00",1,1125,1,38.9043718652855,-77.0171100078955,"Washington","20001","DC",290
"195","50%","50%",1,3,"Entire home/apt",1,1,1,"$145.00",1,31,5,38.9005767799513,-77.0156524837038,"Washington","20001","DC",145
"196","83%","65%",5,4,"Entire home/apt",1,1,1,"$210.00",1,90,87,38.9003068909201,-77.016468044263,"Washington","20001","DC",210
"197","92%","100%",1,1,"Private room",1,1,1,"$90.00",1,1125,2,38.8996415262703,-77.0212048311721,"Washington","20001","DC",90
"198","100%","100%",1,2,"Private room",1,1,1,"$99.00",1,1125,2,38.9008475194518,-77.0160755325378,"Washington","20001","DC",99
"199","100%","0%",1,4,"Entire home/apt",1,1,1,"$399.00",1,1125,16,38.9042419050564,-77.0126160885014,"Washington","20001","DC",399
